Client IP,Port Number,Service Taken
172.16.112.87,46458,Fire
172.16.112.87,46458,Police
172.16.112.87,46458,Ambulance
172.16.112.87,46458,Blood Bank
172.16.112.138,49206,Police
172.16.112.138,49206,Vehicle Repair
172.16.112.138,49206,Fire
172.16.112.138,49206,Ambulance
172.16.112.87,40610,Food Delivery
172.16.112.87,40610,Blood Bank
172.16.112.87,59888,Vehicle Repair
172.16.112.87,59888,Ambulance
172.16.112.87,59888,Fire
172.16.112.87,56328,Vehicle Repair
172.16.112.87,56328,Ambulance
172.16.112.87,56328,Police
172.16.112.87,56328,Fire
172.16.112.87,56328,Exited
